A tiny butterfly lands on the tip of a blade of grass,butterfly
The kitten is chasing a shadow on the wall,cat
A brown chicken scratches the dirt looking for bugs,chicken
The massive cow stands near the metal gate,cow
A happy dog wags its tail while waiting for a treat,dog
The elephant uses its trunk to reach the high leaves,elephant
A powerful horse gallops through the shallow water,horse
The white sheep stands alone on the rocky cliff,sheep
A black spider waits silently in its dusty web,spider
The squirrel leaps from one branch to another,squirrel
The yellow butterfly is circling the red flowers,butterfly
A sleepy cat is curled up on the soft armchair,cat
The red chicken is pecking at some corn,chicken
A large cow leans against the wooden fence,cow
The small dog is barking at the mailman,dog
The old elephant walks slowly across the dry savanna,elephant
A grey horse stands calmly in the middle of the field,horse
The woolly sheep is eating grass near the stream,sheep
I see a spider moving across the window pane,spider
The energetic squirrel is burying a nut in the garden,squirrel
A white butterfly flutters over the green hedge,butterfly
The striped cat is hiding under the wooden table,cat
A young chicken follows the farmer across the yard,chicken
The spotted cow is lying down in the tall grass,cow
A fluffy dog is sitting on the front porch,dog
The baby elephant is playing with a pile of hay,elephant
A dark horse is running fast along the fence line,horse
The heavy sheep moves slowly through the mud,sheep
A large spider is crawling on the basement wall,spider
The nervous squirrel looks around before crossing the path,squirrel
A bright orange butterfly sits on a white rock,butterfly
The house cat is looking out at the rain,cat
A loud chicken stands on top of the fence,chicken
The dairy cow is waiting to be milked,cow
A friendly dog approaches the visitor with a ball,dog
The majestic elephant stands in the shade of a tree,elephant
A wild horse is drinking water from the pond,horse
The small sheep is following its mother,sheep
A thin spider is spinning a web between two bushes,spider
The grey squirrel is sitting on the bird feeder,squirrel
sentence,animal
A fragile butterfly is resting on the garden statue,butterfly
The fluffy cat is sharpening its claws on the tree bark,cat
A brown chicken is pecking at a fallen apple,chicken
The massive cow is standing in the middle of the road,cow
A tiny dog is barking at the giant elephant,dog
The wrinkled elephant is drinking from a small hole,elephant
A majestic horse is trotting along the country lane,horse
The white sheep is grazing near the farm gate,sheep
A long-legged spider is moving across the bathroom tile,spider
The red squirrel is jumping from the roof to the oak,squirrel
A bright butterfly is flying over the clover field,butterfly
The black cat is watching the goldfish in the bowl,cat
A speckled chicken is hiding under the farm wagon,chicken
The heavy cow is lying in the shade of the barn,cow
A stray dog is looking for scraps near the market,dog
The large elephant is shaking a tree for fruit,elephant
A grey horse is standing by the old wooden stable,horse
The woolly sheep is drinking water from the bucket,sheep
A garden spider is spinning a web on the mailbox,spider
The fat squirrel is sitting on the bird bath,squirrel
A tiny butterfly is stuck inside the glass window,butterfly
The house cat is batting at a piece of string,cat
A noisy chicken is standing on the stone wall,chicken
The dairy cow is chewing its cud in the field,cow
A golden dog is swimming in the backyard pool,dog
The old elephant is leading the herd to water,elephant
A fast horse is galloping through the morning fog,horse
The lone sheep is standing on the wooden bridge,sheep
A black spider is waiting under the garden chair,spider
The clever squirrel is hiding a nut in a flowerpot,squirrel
A blue butterfly is landing on a yellow daisy,butterfly
The tabby cat is sleeping on top of the fridge,cat
A white chicken is running across the dusty road,chicken
The spotted cow is licking a salt block,cow
A brave dog is guarding the front entrance,dog
The baby elephant is exploring the tall grass,elephant
A brown horse is flicking its ears at the flies,horse
The grazing sheep is moving towards the hills,sheep
A thin spider is crawling up the silver lamp,spider
The small squirrel is eating a sunflower seed,squirrel
A neon butterfly is fluttering near the porch,butterfly
The curious cat is sniffing the shopping bag,cat
A red chicken is scratching the ground for worms,chicken
